OEM,Model,Segment,Apr-25,Apr-24,YoY Growth (%),Mar-25,MoM Growth (%)
450S,EV Scooter,EV Scooter,935,3706,-75.0,1037,-10.0
45ox,EV Scooter,EV Scooter,2588,4775,-46.0,4218,-39.0
RIZTA,EV Scooter,EV Scooter,10052,0,0.0,11471,-12.0
450 Apex,EV Scooter,EV Scooter,88,369,-76.0,99,-11.0
ICHETAK (ELECTRIC),EV Scooter,EV Scooter,19216,11121,73.0,28983,-34.0
Yulu Ver 3.0x,EV Scooter,EV Scooter,50,0,0.0,100,-50.0
Vida,EV Scooter,EV Scooter,7116,2880,147.0,7787,-9.0
iQube Electric,EV Scooter,EV Scooter,27604,16713,65.0,26531,4.0
Dual,EV Scooter,EV Scooter,0,0,0.0,0,0.0
Lite,EV Scooter,EV Scooter,33,1,3200.0,0,0.0
R-30,EV Scooter,EV Scooter,0,0,0.0,0,0.0
R-35,EV Scooter,EV Scooter,0,0,0.0,0,0.0
Dual-100,EV Scooter,EV Scooter,0,0,0.0,0,0.0
Praise,EV Scooter,EV Scooter,0,0,0.0,5,-100.0
Praise Pro,EV Scooter,EV Scooter,0,0,0.0,16,-100.0
Ridge 100,EV Scooter,EV Scooter,0,0,0.0,0,0.0
Ridge+,EV Scooter,EV Scooter,0,0,0.0,0,0.0
Okhi 90,EV Scooter,EV Scooter,0,0,0.0,15,-100.0
